legislature,session,member_id
42,2,fontecilla-andres-17953
42,2,maccarone-jennifer-17911
42,2,lecours-lucie-17949
42,2,jacques-francois-17937
42,2,picard-marc-655
42,2,dorion-catherine-17895
42,2,laframboise-mario-15357
42,2,ciccone-enrico-17943
42,2,montpetit-marie-15369
42,2,zanetti-sol-17955
42,2,gaudreault-maryse-959
42,2,schneeberger-sebastien-5909
42,2,derraji-monsef-17923
42,2,theriault-lise-1355
42,2,lefebvre-eric-16777
42,2,thouin-louis-charles-18073
42,2,jeannotte-chantale-17959
42,2,leduc-alexandre-17935
42,2,masse-manon-15421
42,2,labrie-christine-17889
42,2,marissal-vincent-17867
42,2,dufour-pierre-17823
42,2,martel-donald-12165
42,2,bussiere-robert-17921
42,2,grondin-agnes-17827
42,2,emond-jean-bernard-17857
42,2,lachance-stephanie-17835
42,2,tremblay-francois-17917
42,2,picard-marilyne-17891
42,2,tardif-marie-louise-18071
42,2,kelley-gregory-17951
42,2,arseneau-joel-17947
42,2,berube-pascal-991
42,2,julien-jonatan-17855
42,2,chassin-youri-17881
42,2,bonnardel-francois-11
42,2,lafreniere-ian-17903
42,2,lebel-sonia-17847
42,2,poulin-samuel-17831
42,2,rizqy-marwah-17883
42,2,fortin-andre-15383
42,2,roberge-jean-francois-15361
42,2,roy-nathalie-12187
42,2,lecours-isabelle-17945
42,2,fitzgibbon-pierre-17897
42,2,ghazal-ruba-17933
42,2,levesque-sylvain-12213
42,2,d-amours-sylvie-15399
41,1,reid-pierre-329
41,1,roy-sylvain-12163
41,1,ouellet-martin-16495
41,1,ouellette-guy-549
41,1,birnbaum-david-15371
41,1,richard-lorraine-287
41,1,sauve-monique-16493
41,1,samson-claire-15409
41,1,caire-eric-485
41,1,rousselle-jean-12167
41,1,paradis-francois-15725
41,1,daoust-jacques-15441
41,1,charette-benoit-195
41,1,legault-francois-4131
41,1,drainville-bernard-209
41,1,lemay-mathieu-15403
41,1,tanguay-marc-11789
41,1,lamontagne-andre-15401
41,1,nichols-marie-claude-15439
41,1,nadeau-dubois-gabriel-16827
41,1,anglade-dominique-16499
41,1,arcand-pierre-421
41,1,auger-pierre-michel-5847
41,1,barrette-gaetan-15397
41,1,bedard-stephane-1457
41,1,bergeron-stephane-1443
41,1,bernier-raymond-1141
41,1,billette-stephane-1025
41,1,blais-marguerite-1263
41,1,blais-francois-15365
41,1,blanchette-luc-15413
41,1,bolduc-yves-297
41,1,bolduc-ghislain-12207
41,1,boucher-jean-15433
41,1,boulet-julie-649
41,1,bourcier-marc-16773
41,1,bourgeois-guy-15353
41,1,busque-paul-16497
41,1,carriere-marc-177
41,1,chagnon-jacques-353
41,1,charbonneau-francine-635
41,1,charlebois-lucie-1017
41,1,chevarie-germain-1003
41,1,cloutier-alexandre-1077
41,1,coiteux-martin-15443
41,1,cousineau-claude-925
41,1,d-amour-jean-1623
41,1,david-helene-15379
41,1,de-santis-rita-lc-12217
41,1,deltell-gerard-17
41,1,drolet-andre-299
41,1,dufour-marjolain-423
41,1,dutil-robert-641
41,1,fortin-luc-15427
41,1,fournier-jean-marc-3233
41,1,fournier-catherine-16775
41,1,gaudreault-sylvain-1001
41,1,giguere-pierre-15423
41,1,girard-jean-denis-15431
41,1,habel-jean-15425
41,1,hamad-sam-1273
41,1,hardy-guy-15415
41,1,heurtel-david-14883
41,1,hivon-veronique-27
41,1,huot-patrick-43
41,1,iraca-alexandre-12227
41,1,jean-mireille-16665
41,1,kelley-geoffrey-55
41,1,khadir-amir-25
41,1,kotto-maka-41
41,1,lamarre-diane-15429
41,1,lavallee-lise-15389
41,1,lebel-harold-15479
41,1,leclair-guy-15
41,1,dube-christian-12223
41,1,leger-nicole-63
41,1,leitao-carlos-j-15391
