id,first_name,last_name,note,assnat_url,wikidata_id
asselin-martial-19,Martial,Asselin,,https://www.assnat.qc.ca/fr/patrimoine/anciens-parlementaires/asselin-martial-19.html,Q1903142
atkinson-gordon-1775,Gordon,Atkinson,,https://www.assnat.qc.ca/fr/deputes/atkinson-gordon-1775/index.html,Q3110879
atwater-albert-william-1777,Albert William,Atwater,,https://www.assnat.qc.ca/fr/deputes/atwater-albert-william-1777/index.html,Q4711474
aubert-de-gaspe-pierre-ignace-21,Pierre-Ignace,Aubert de Gaspé,,https://www.assnat.qc.ca/fr/patrimoine/anciens-parlementaires/aubert-de-gaspe-pierre-ignace-21.html,Q7191996
auclair-vincent-471,Vincent,Auclair,,https://www.assnat.qc.ca/fr/deputes/auclair-vincent-471/index.html,Q3559460
audet-aurele-1779,Aurèle,Audet,,https://www.assnat.qc.ca/fr/deputes/audet-aurele-1779/index.html,Q4822677
audet-jean-1781,Jean,Audet,,https://www.assnat.qc.ca/fr/deputes/audet-jean-1781/index.html,Q30727601
audet-michel-5797,Michel,Audet,,https://www.assnat.qc.ca/fr/deputes/audet-michel-5797/index.html,Q3308906
audet-nicodeme-1783,Nicodème,Audet,,https://www.assnat.qc.ca/fr/deputes/audet-nicodeme-1783/index.html,Q7028927
auge-olivier-maurice-1785,Olivier-Maurice,Augé,,https://www.assnat.qc.ca/fr/deputes/auge-olivier-maurice-1785/index.html,Q7088113
auger-antonio-1787,Antonio,Auger,,https://www.assnat.qc.ca/fr/deputes/auger-antonio-1787/index.html,Q30727067
auger-georges-adelard-1789,Georges-Adélard,Auger,,https://www.assnat.qc.ca/fr/deputes/auger-georges-adelard-1789/index.html,Q50051225
auger-henry-lemaitre-1791,Henry Lemaître,Auger,,https://www.assnat.qc.ca/fr/deputes/auger-henry-lemaitre-1791/index.html,Q13581026
auger-pierre-michel-5847,Pierre Michel,Auger,,https://www.assnat.qc.ca/fr/deputes/auger-pierre-michel-5847/index.html,Q3383393
auldjo-alexander-1793,Alexander,Auldjo,,https://www.assnat.qc.ca/fr/deputes/auldjo-alexander-1793/index.html,Q4718277
aussant-jean-martin-509,Jean-Martin,Aussant,,https://www.assnat.qc.ca/fr/deputes/aussant-jean-martin-509/index.html,Q3167889
austin-thomas-23,Thomas,Austin,,https://www.assnat.qc.ca/fr/patrimoine/anciens-parlementaires/austin-thomas-23.html,
authier-hector-1795,Hector,Authier,,https://www.assnat.qc.ca/fr/deputes/authier-hector-1795/index.html,Q3129217
aylwin-thomas-cushing-1797,Thomas Cushing,Aylwin,,https://www.assnat.qc.ca/fr/deputes/aylwin-thomas-cushing-1797/index.html,Q7788767
baby-charles-francois-xavier-25,Charles-François-Xavier,Baby,,https://www.assnat.qc.ca/fr/patrimoine/anciens-parlementaires/baby-charles-francois-xavier-25.html,Q5493165
baby-francois-27,François,Baby,,https://www.assnat.qc.ca/fr/patrimoine/anciens-parlementaires/baby-francois-27.html,Q5493164
baby-michel-guillaume-1799,Michel-Guillaume,Baby,,https://www.assnat.qc.ca/fr/deputes/baby-michel-guillaume-1799/index.html,Q6836416
bachand-andre-17859,André,Bachand,,https://www.assnat.qc.ca/fr/deputes/bachand-andre-17859/index.html,Q2847182
bachand-claude-531,Claude,Bachand,,https://www.assnat.qc.ca/fr/deputes/bachand-claude-531/index.html,Q2976933
bachand-pierre-1801,Pierre,Bachand,,https://www.assnat.qc.ca/fr/deputes/bachand-pierre-1801/index.html,Q3383833
bachand-raymond-565,Raymond,Bachand,,https://www.assnat.qc.ca/fr/deputes/bachand-raymond-565/index.html,Q3420645
bachand-robert-raoul-1803,Robert-Raoul,Bachand,,https://www.assnat.qc.ca/fr/deputes/bachand-robert-raoul-1803/index.html,Q59783246
bacon-guy-1805,Guy,Bacon,,https://www.assnat.qc.ca/fr/deputes/bacon-guy-1805/index.html,Q3121535
bacon-lise-1807,Lise,Bacon,,https://www.assnat.qc.ca/fr/deputes/bacon-lise-1807/index.html,Q3242479
badeaux-joseph-1809,Joseph,Badeaux,,https://www.assnat.qc.ca/fr/deputes/badeaux-joseph-1809/index.html,Q15463691
badgley-francis-1811,Francis,Badgley,,https://www.assnat.qc.ca/fr/deputes/badgley-francis-1811/index.html,Q5480105
badgley-william-1813,William,Badgley,,https://www.assnat.qc.ca/fr/deputes/badgley-william-1813/index.html,Q8004914
bagot-charles-29,Charles,Bagot,,https://www.assnat.qc.ca/fr/patrimoine/anciens-parlementaires/bagot-charles-29.html,Q2958465
baillargeon-cyrille-1815,Cyrille,Baillargeon,,https://www.assnat.qc.ca/fr/deputes/baillargeon-cyrille-1815/index.html,Q59783247
baillargeon-laurier-1817,Laurier,Baillargeon,,https://www.assnat.qc.ca/fr/deputes/baillargeon-laurier-1817/index.html,Q59783249
baker-angus-1819,Angus,Baker,,https://www.assnat.qc.ca/fr/deputes/baker-angus-1819/index.html,Q4764064
baker-george-barnard-1821,George Barnard,Baker,,https://www.assnat.qc.ca/fr/deputes/baker-george-barnard-1821/index.html,Q3101411
baker-stevens-1823,Stevens,Baker,,https://www.assnat.qc.ca/fr/deputes/baker-stevens-1823/index.html,Q7615459
baker-william-1825,William,Baker,,https://www.assnat.qc.ca/fr/deputes/baker-william-1825/index.html,Q8004963
baldwin-ozro-1827,Ozro,Baldwin,,https://www.assnat.qc.ca/fr/deputes/baldwin-ozro-1827/index.html,Q7116688
baldwin-robert-1829,Robert,Baldwin,,https://www.assnat.qc.ca/fr/deputes/baldwin-robert-1829/index.html,Q2093662
ball-george-1831,George,Ball,,https://www.assnat.qc.ca/fr/deputes/ball-george-1831/index.html,Q3102239
barbeau-diane-1833,Diane,Barbeau,,https://www.assnat.qc.ca/fr/deputes/barbeau-diane-1833/index.html,Q3026180
barbier-louis-marie-raphael-1835,Louis-Marie-Raphaël,Barbier,,https://www.assnat.qc.ca/fr/deputes/barbier-louis-marie-raphael-1835/index.html,Q6686479
bardy-pierre-martial-1837,Pierre-Martial,Bardy,,https://www.assnat.qc.ca/fr/deputes/bardy-pierre-martial-1837/index.html,Q7192012
bareil-dit-lajoie-alexandre-31,Alexandre,Bareil,dit Lajoie,https://www.assnat.qc.ca/fr/patrimoine/anciens-parlementaires/bareil-dit-lajoie-alexandre-31.html,Q4720803
bareil-dit-lajoie-alexis-1839,Alexis,Bareil,dit Lajoie,https://www.assnat.qc.ca/fr/deputes/bareil-dit-lajoie-alexis-1839/index.html,
baribeau-jean-louis-33,Jean-Louis,Baribeau,,https://www.assnat.qc.ca/fr/patrimoine/anciens-parlementaires/baribeau-jean-louis-33.html,Q3166619
baril-jacques-1841,Jacques,Baril,,https://www.assnat.qc.ca/fr/deputes/baril-jacques-1841/index.html,Q16266734
